first,second,third
sonnenuntergänge,lass,uns
lass,uns,einen
uns,einen,sonnenuntergang
einen,sonnenuntergang,anschauen
sonnenuntergang,anschauen,aber
anschauen,aber,man
aber,man,muss
man,muss,warten
muss,warten,worauf
warten,worauf,denn
worauf,denn,warten
denn,warten,darauf
warten,darauf,dass
darauf,dass,die
dass,die,sonne
die,sonne,untergeht
sonne,untergeht,du
untergeht,du,wirktest
du,wirktest,zunächst
wirktest,zunächst,sehr
zunächst,sehr,überrascht
sehr,überrascht,aber
überrascht,aber,musstest
aber,musstest,dann
musstest,dann,selbst
dann,selbst,lachen
selbst,lachen,und
lachen,und,du
und,du,hast
du,hast,zu
hast,zu,mir
zu,mir,gesagt
mir,gesagt,ich
gesagt,ich,glaube
ich,glaube,immer
glaube,immer,noch
immer,noch,ich
noch,ich,sei
ich,sei,bei
sei,bei,mir
bei,mir,tatsächlich
mir,tatsächlich,wenn
tatsächlich,wenn,es
wenn,es,in
es,in,den
in,den,vereinigten
den,vereinigten,staaten
vereinigten,staaten,von
staaten,von,amerika
von,amerika,mittagszeit
amerika,mittagszeit,ist
mittagszeit,ist,das
ist,das,weiß
das,weiß,ja
weiß,ja,jeder
ja,jeder,dann
jeder,dann,geht
dann,geht,in
geht,in,frankreich
in,frankreich,die
frankreich,die,sonne
die,sonne,unter
sonne,unter,man
unter,man,müsste
man,müsste,innerhalb
müsste,innerhalb,einer
innerhalb,einer,minute
einer,minute,nach
minute,nach,frankreich
nach,frankreich,gelangen
frankreich,gelangen,können
gelangen,können,um
können,um,den
um,den,sonnenuntergang
den,sonnenuntergang,dort
sonnenuntergang,dort,zu
dort,zu,sehen
zu,sehen,leider
sehen,leider,ist
leider,ist,frankreich
ist,frankreich,viel
frankreich,viel,zu
viel,zu,weit
zu,weit,entfernt
weit,entfernt,aber
entfernt,aber,auf
aber,auf,deinem
auf,deinem,kleinen
deinem,kleinen,planeten
kleinen,planeten,da
planeten,da,musst
da,musst,du
musst,du,nur
du,nur,den
nur,den,stuhl
den,stuhl,um
stuhl,um,ein
um,ein,paar
ein,paar,schritte
paar,schritte,verrücken
schritte,verrücken,und
verrücken,und,schon
und,schon,siehst
schon,siehst,du
siehst,du,die
du,die,abenddämmerung
die,abenddämmerung,wann
abenddämmerung,wann,immer
wann,immer,du
immer,du,willst
du,willst,einmal
willst,einmal,hab
einmal,hab,ich
hab,ich,die
ich,die,sonne
die,sonne,dreiundvierzig
sonne,dreiundvierzig,mal
dreiundvierzig,mal,untergehen
mal,untergehen,sehen
untergehen,sehen,und
sehen,und,ein
und,ein,wenig
ein,wenig,später
wenig,später,fügtest
später,fügtest,du
fügtest,du,hinzu
du,hinzu,weißt
hinzu,weißt,du
weißt,du,wenn
du,wenn,man
wenn,man,sehr
man,sehr,traurig
sehr,traurig,ist
traurig,ist,dann
ist,dann,liebt
dann,liebt,man
liebt,man,sonnenuntergänge
man,sonnenuntergänge,also
sonnenuntergänge,also,warst
also,warst,du
warst,du,an
du,an,dem
an,dem,tag
dem,tag,mit
tag,mit,den
mit,den,dreiundvierzig
den,dreiundvierzig,mal
dreiundvierzig,mal,besonders
mal,besonders,traurig
besonders,traurig,aber
traurig,aber,der
aber,der,kleine
der,kleine,prinz
kleine,prinz,antwortete
prinz,antwortete,nicht
antwortete,nicht,am
nicht,am,fünften
am,fünften,tag
fünften,tag,kam
tag,kam,ich
kam,ich,wieder
ich,wieder,einmal
wieder,einmal,dank
einmal,dank,des
dank,des,schafes
des,schafes,hinter
schafes,hinter,ein
hinter,ein,weiteres
ein,weiteres,geheimnis
weiteres,geheimnis,im
geheimnis,im,leben
im,leben,des
leben,des,kleinen
des,kleinen,prinzen
kleinen,prinzen,ohne
prinzen,ohne,umschweife
ohne,umschweife,fragte
umschweife,fragte,er
fragte,er,mich
er,mich,geradeheraus
mich,geradeheraus,als
geradeheraus,als,pflücke
als,pflücke,er
pflücke,er,die
er,die,frucht
die,frucht,eines
frucht,eines,lange
eines,lange,im
lange,im,stillen
im,stillen,gereiften
stillen,gereiften,problems
gereiften,problems,wenn
problems,wenn,ein
wenn,ein,schaf
ein,schaf,sträucher
schaf,sträucher,frisst
sträucher,frisst,dann
frisst,dann,also
dann,also,auch
also,auch,blumen
auch,blumen,ein
blumen,ein,schaf
ein,schaf,frisst
schaf,frisst,einfach
frisst,einfach,alles
einfach,alles,was
alles,was,es
was,es,findet
es,findet,selbst
findet,selbst,wenn
selbst,wenn,die
wenn,die,blumen
die,blumen,dornen
blumen,dornen,haben
dornen,haben,ja
haben,ja,selbst
ja,selbst,blumen
selbst,blumen,mit
blumen,mit,dornen
mit,dornen,wozu
dornen,wozu,dienen
wozu,dienen,dann
dienen,dann,diese
dann,diese,dornen
diese,dornen,ich
dornen,ich,wusste
ich,wusste,es
wusste,es,nicht
es,nicht,unterdessen
nicht,unterdessen,war
unterdessen,war,ich
war,ich,mit
ich,mit,dem
mit,dem,versuch
dem,versuch,beschäftigt
versuch,beschäftigt,an
beschäftigt,an,meinem
an,meinem,motor
meinem,motor,einen
motor,einen,bolzen
einen,bolzen,zu
bolzen,zu,lockern
zu,lockern,der
lockern,der,zu
der,zu,festgezogen
zu,festgezogen,war
festgezogen,war,ich
war,ich,war
ich,war,sehr
war,sehr,besorgt
sehr,besorgt,denn
besorgt,denn,langsam
denn,langsam,schien
langsam,schien,mir
schien,mir,meine
mir,meine,panne
meine,panne,doch
panne,doch,sehr
doch,sehr,ernst
sehr,ernst,und
ernst,und,das
und,das,zur
das,zur,neige
zur,neige,gehende
neige,gehende,trinkwasser
gehende,trinkwasser,ließ
trinkwasser,ließ,mich
ließ,mich,das
mich,das,schlimmste
das,schlimmste,befürchten
schlimmste,befürchten,wozu
befürchten,wozu,sind
wozu,sind,die
sind,die,dornen
die,dornen,gut
dornen,gut,der
gut,der,kleine
der,kleine,prinz
kleine,prinz,ließ
prinz,ließ,nie
ließ,nie,von
nie,von,einer
von,einer,frage
einer,frage,ab
frage,ab,wenn
ab,wenn,er
wenn,er,sie
er,sie,einmal
sie,einmal,gestellt
einmal,gestellt,hatte
gestellt,hatte,ich
hatte,ich,war
ich,war,von
war,von,meinem
von,meinem,bolzen
meinem,bolzen,abgelenkt
bolzen,abgelenkt,und
abgelenkt,und,so
und,so,antwortete
so,antwortete,ich
antwortete,ich,einfach
ich,einfach,irgendetwas
einfach,irgendetwas,die
irgendetwas,die,dornen
die,dornen,sind
dornen,sind,zu
sind,zu,überhaupt
zu,überhaupt,nichts
überhaupt,nichts,nutze
nichts,nutze,die
nutze,die,blumen
die,blumen,lassen
blumen,lassen,sie
lassen,sie,nur
sie,nur,aus
nur,aus,gemeinheit
aus,gemeinheit,wachsen
gemeinheit,wachsen,oh
wachsen,oh,aber
oh,aber,nach
aber,nach,einem
nach,einem,augenblick
einem,augenblick,stille
augenblick,stille,da
stille,da,erwiderte
da,erwiderte,er
erwiderte,er,verärgert
er,verärgert,ich
verärgert,ich,glaube
ich,glaube,dir
glaube,dir,nicht
dir,nicht,blumen
nicht,blumen,sind
blumen,sind,schwach
sind,schwach,sie
schwach,sie,sind
sie,sind,leichtgläubig
sind,leichtgläubig,sie
leichtgläubig,sie,schützen
sie,schützen,sich
schützen,sich,nur
sich,nur,so
nur,so,gut
so,gut,sie
gut,sie,können
sie,können,mit
können,mit,den
mit,den,dornen
den,dornen,glauben
dornen,glauben,sie
glauben,sie,sehen
sie,sehen,sie
sehen,sie,gefährlich
sie,gefährlich,aus
gefährlich,aus,ich
aus,ich,antwortete
ich,antwortete,nichts
antwortete,nichts,sondern
nichts,sondern,sagte
sondern,sagte,mir
sagte,mir,in
mir,in,diesem
in,diesem,augenblick
diesem,augenblick,wenn
augenblick,wenn,dieser
wenn,dieser,bolzen
dieser,bolzen,nicht
bolzen,nicht,nachgibt
nicht,nachgibt,muss
nachgibt,muss,ich
muss,ich,ihn
ich,ihn,mit
ihn,mit,dem
mit,dem,hammer
dem,hammer,herauslösen
hammer,herauslösen,wieder
herauslösen,wieder,unterbrach
wieder,unterbrach,der
unterbrach,der,kleine
der,kleine,prinz
kleine,prinz,meine
prinz,meine,überlegungen
meine,überlegungen,und
überlegungen,und,du
und,du,glaubst
du,glaubst,dass
glaubst,dass,diese
dass,diese,blumen
diese,blumen,aber
blumen,aber,nein
aber,nein,aber
nein,aber,nein
aber,nein,ich
nein,ich,glaube
ich,glaube,gar
glaube,gar,nichts
gar,nichts,ich
nichts,ich,habe
ich,habe,nur
habe,nur,irgendwas
nur,irgendwas,geantwortet
irgendwas,geantwortet,ich
geantwortet,ich,muss
ich,muss,mich
muss,mich,hier
mich,hier,um
hier,um,wichtige
um,wichtige,dinge
wichtige,dinge,kümmern
dinge,kümmern,er
kümmern,er,schaute
er,schaute,mich
schaute,mich,erstaunt
mich,erstaunt,an
erstaunt,an,um
an,um,wichtige
um,wichtige,dinge
wichtige,dinge,er
dinge,er,sah
er,sah,mich
sah,mich,an
mich,an,wie
an,wie,ich
wie,ich,den
ich,den,hammer
den,hammer,in
hammer,in,der
in,der,hand
der,hand,und
hand,und,mit
und,mit,ölverschmierten
mit,ölverschmierten,händen
ölverschmierten,händen,über
händen,über,einem
über,einem,ding
einem,ding,hing
ding,hing,das
hing,das,ihm
das,ihm,ausgesprochen
ihm,ausgesprochen,hässlich
ausgesprochen,hässlich,erscheinen
hässlich,erscheinen,musste
erscheinen,musste,du
musste,du,sprichst
du,sprichst,wie
sprichst,wie,die
wie,die,erwachsenen
die,erwachsenen,das
erwachsenen,das,beschämte
das,beschämte,mich
beschämte,mich,etwas
mich,etwas,aber
etwas,aber,er
aber,er,fügte
er,fügte,noch
fügte,noch,unerbittlich
noch,unerbittlich,hinzu
unerbittlich,hinzu,du
hinzu,du,verwechselst
du,verwechselst,alles
verwechselst,alles,du
alles,du,bringst
du,bringst,alles
bringst,alles,durcheinander
alles,durcheinander,er
durcheinander,er,war
er,war,wirklich
war,wirklich,sehr
wirklich,sehr,aufgebracht
sehr,aufgebracht,er
aufgebracht,er,schüttelte
er,schüttelte,sein
schüttelte,sein,goldenes
sein,goldenes,haar
goldenes,haar,im
haar,im,wind
im,wind,es
wind,es,gibt
es,gibt,einen
gibt,einen,mann
einen,mann,mit
mann,mit,hochrotem
mit,hochrotem,kopf
hochrotem,kopf,er
kopf,er,hat
er,hat,noch
hat,noch,nie
noch,nie,den
nie,den,duft
den,duft,einer
duft,einer,blume
einer,blume,gerochen
blume,gerochen,er
gerochen,er,hat
er,hat,noch
hat,noch,niemals
noch,niemals,einen
niemals,einen,stern
einen,stern,betrachtet
stern,betrachtet,er
betrachtet,er,hat
er,hat,noch
hat,noch,niemals
noch,niemals,jemanden
niemals,jemanden,geliebt
jemanden,geliebt,nie
geliebt,nie,hat
nie,hat,er
hat,er,etwas
er,etwas,anderes
etwas,anderes,getan
anderes,getan,als
getan,als,zahlen
als,zahlen,zu
zahlen,zu,addieren
zu,addieren,und
addieren,und,den
und,den,ganzen
den,ganzen,tag
ganzen,tag,wiederholt
tag,wiederholt,er
wiederholt,er,so
er,so,wie
so,wie,du
wie,du,ich
du,ich,bin
ich,bin,ein
bin,ein,ernstzunehmender
ein,ernstzunehmender,mann
ernstzunehmender,mann,ich
mann,ich,bin
ich,bin,ein
bin,ein,wichtiger
ein,wichtiger,mann
wichtiger,mann,und
mann,und,damit
und,damit,brüstet
damit,brüstet,er
brüstet,er,sich
er,sich,voller
sich,voller,hochmut
voller,hochmut,aber
hochmut,aber,er
aber,er,ist
er,ist,gar
ist,gar,kein
gar,kein,mann
kein,mann,er
mann,er,ist
er,ist,ein
ist,ein,pilz
ein,pilz,ein
pilz,ein,was
ein,was,bitte
was,bitte,ein
bitte,ein,pilz
ein,pilz,der
pilz,der,kleine
der,kleine,prinz
kleine,prinz,war
prinz,war,vor
war,vor,zorn
vor,zorn,nun
zorn,nun,ganz
nun,ganz,bleich
ganz,bleich,geworden
bleich,geworden,seit
geworden,seit,tausenden
seit,tausenden,jahren
tausenden,jahren,lassen
jahren,lassen,blumen
lassen,blumen,dornen
blumen,dornen,wachsen
dornen,wachsen,seit
wachsen,seit,tausenden
seit,tausenden,jahren
tausenden,jahren,fressen
jahren,fressen,die
fressen,die,schafe
die,schafe,die
schafe,die,blumen
die,blumen,trotzdem
blumen,trotzdem,und
trotzdem,und,es
und,es,soll
es,soll,nicht
soll,nicht,wichtig
nicht,wichtig,sein
wichtig,sein,verstehen
sein,verstehen,zu
verstehen,zu,wollen
zu,wollen,warum
wollen,warum,sie
warum,sie,sich
sie,sich,so
sich,so,mühsam
so,mühsam,dornen
mühsam,dornen,wachsen
dornen,wachsen,lassen
wachsen,lassen,die
lassen,die,zu
die,zu,gar
zu,gar,nichts
gar,nichts,nutze
nichts,nutze,sind
nutze,sind,dieser
sind,dieser,krieg
dieser,krieg,zwischen
krieg,zwischen,schafen
zwischen,schafen,und
schafen,und,blumen
und,blumen,soll
blumen,soll,nicht
soll,nicht,wichtig
nicht,wichtig,sein
wichtig,sein,das
sein,das,ist
das,ist,nicht
ist,nicht,ernstzunehmender
nicht,ernstzunehmender,und
ernstzunehmender,und,wichtiger
und,wichtiger,als
wichtiger,als,die
als,die,berechnungen
die,berechnungen,eines
berechnungen,eines,dicken
eines,dicken,rotbäckigen
dicken,rotbäckigen,mannes
rotbäckigen,mannes,und
mannes,und,wenn
und,wenn,ich
wenn,ich,eine
ich,eine,blume
eine,blume,kenne
blume,kenne,die
kenne,die,es
die,es,nur
es,nur,ein
nur,ein,mal
ein,mal,auf
mal,auf,dieser
auf,dieser,welt
dieser,welt,gibt
welt,gibt,nirgends
gibt,nirgends,außer
nirgends,außer,auf
außer,auf,meinem
auf,meinem,planeten
meinem,planeten,und
planeten,und,wenn
und,wenn,nun
wenn,nun,ein
nun,ein,kleines
ein,kleines,schaf
kleines,schaf,eines
schaf,eines,morgens
eines,morgens,diese
morgens,diese,blume
diese,blume,einfach
blume,einfach,so
einfach,so,mit
so,mit,einem
mit,einem,biss
einem,biss,vernichten
biss,vernichten,kann
vernichten,kann,ohne
kann,ohne,zu
ohne,zu,wissen
zu,wissen,was
wissen,was,es
was,es,tut
es,tut,dann
tut,dann,soll
dann,soll,das
soll,das,nicht
das,nicht,wichtig
nicht,wichtig,sein
wichtig,sein,er
sein,er,lief
er,lief,ganz
lief,ganz,rot
ganz,rot,an
rot,an,und
an,und,fuhr
und,fuhr,dann
fuhr,dann,fort
dann,fort,wenn
fort,wenn,jemand
wenn,jemand,eine
jemand,eine,blume
eine,blume,liebt
blume,liebt,die
liebt,die,es
die,es,auf
es,auf,zig
auf,zig,millionen
zig,millionen,sternen
millionen,sternen,nur
sternen,nur,ein
nur,ein,einziges
ein,einziges,mal
einziges,mal,gibt
mal,gibt,dann
gibt,dann,reicht
dann,reicht,ihm
reicht,ihm,ein
ihm,ein,blick
ein,blick,zu
blick,zu,ihnen
zu,ihnen,hinauf
ihnen,hinauf,um
hinauf,um,glücklich
um,glücklich,zu
glücklich,zu,sein
zu,sein,er
sein,er,sagt
er,sagt,sich
sagt,sich,irgendwo
sich,irgendwo,dort
irgendwo,dort,ist
dort,ist,meine
ist,meine,blume
meine,blume,aber
blume,aber,wenn
aber,wenn,das
wenn,das,schaf
das,schaf,die
schaf,die,blume
die,blume,frisst
blume,frisst,so
frisst,so,ist
so,ist,es
ist,es,für
es,für,ihn
für,ihn,so
ihn,so,als
so,als,seien
als,seien,ganz
seien,ganz,plötzlich
ganz,plötzlich,alle
plötzlich,alle,sterne
alle,sterne,verschwunden
sterne,verschwunden,und
verschwunden,und,das
und,das,soll
das,soll,nicht
soll,nicht,wichtig
nicht,wichtig,sein
wichtig,sein,mehr
sein,mehr,brachte
mehr,brachte,er
brachte,er,nicht
er,nicht,hervor
nicht,hervor,er
hervor,er,fing
er,fing,auf
fing,auf,einmal
auf,einmal,an
einmal,an,zu
an,zu,schluchzen
zu,schluchzen,die
schluchzen,die,nacht
die,nacht,war
nacht,war,hereingebrochen
war,hereingebrochen,ich
hereingebrochen,ich,hatte
ich,hatte,mein
hatte,mein,werkzeug
mein,werkzeug,beiseitegelegt
werkzeug,beiseitegelegt,mein
beiseitegelegt,mein,hammer
mein,hammer,mein
hammer,mein,bolzen
mein,bolzen,der
bolzen,der,durst
der,durst,und
durst,und,der
und,der,hunger
der,hunger,erschienen
hunger,erschienen,mir
erschienen,mir,auf
mir,auf,einmal
auf,einmal,albern
einmal,albern,es
albern,es,gab
es,gab,auf
gab,auf,einem
auf,einem,stern
einem,stern,auf
stern,auf,einem
auf,einem,planeten
einem,planeten,auf
planeten,auf,meinem
auf,meinem,planeten
meinem,planeten,der
planeten,der,erde
der,erde,einen
erde,einen,kleinen
einen,kleinen,prinzen
kleinen,prinzen,zu
prinzen,zu,trösten
zu,trösten,ich
trösten,ich,nahm
ich,nahm,ihn
nahm,ihn,in
ihn,in,die
in,die,arme
die,arme,ich
arme,ich,wiegte
ich,wiegte,ihn
wiegte,ihn,ich
ihn,ich,sagte
ich,sagte,zu
sagte,zu,ihm
zu,ihm,deine
ihm,deine,geliebte
deine,geliebte,blume
geliebte,blume,ist
blume,ist,nicht
ist,nicht,in
nicht,in,gefahr
in,gefahr,ich
gefahr,ich,werde
ich,werde,deinem
werde,deinem,schaf
deinem,schaf,einen
schaf,einen,maulkorb
einen,maulkorb,zeichnen
maulkorb,zeichnen,ich
zeichnen,ich,zeichne
ich,zeichne,dir
zeichne,dir,eine
dir,eine,rüstung
eine,rüstung,für
rüstung,für,deine
für,deine,blume
deine,blume,ich
blume,ich,ich
ich,ich,wusste
ich,wusste,wirklich
wusste,wirklich,nicht
wirklich,nicht,was
nicht,was,ich
was,ich,sagen
ich,sagen,sollte
sagen,sollte,ich
sollte,ich,fühlte
ich,fühlte,mich
fühlte,mich,sehr
mich,sehr,schlecht
sehr,schlecht,ich
schlecht,ich,wusste
ich,wusste,nicht
wusste,nicht,wie
nicht,wie,ich
wie,ich,ihm
ich,ihm,näher
ihm,näher,komme
näher,komme,wie
komme,wie,ich
wie,ich,ihm
ich,ihm,beistehen
ihm,beistehen,konnte
beistehen,konnte,das
konnte,das,land
das,land,der
land,der,tränen
der,tränen,ist
tränen,ist,voller
ist,voller,geheimnisse
voller,geheimnisse,schon
geheimnisse,schon,bald
schon,bald,lernte
bald,lernte,ich
lernte,ich,jene
ich,jene,blume
jene,blume,besser
blume,besser,kennen
besser,kennen,auf
kennen,auf,dem
auf,dem,planeten
dem,planeten,des
planeten,des,kleinen
des,kleinen,prinzen
kleinen,prinzen,hatte
prinzen,hatte,es
hatte,es,schon
es,schon,immer
schon,immer,blumen
immer,blumen,gegeben
blumen,gegeben,sehr
gegeben,sehr,einfache
sehr,einfache,verziert
einfache,verziert,nur
verziert,nur,mit
nur,mit,einem
mit,einem,kranz
einem,kranz,von
kranz,von,blütenblättern
von,blütenblättern,sie
blütenblättern,sie,waren
sie,waren,kaum
waren,kaum,zu
kaum,zu,bemerken
zu,bemerken,und
bemerken,und,sie
und,sie,störten
sie,störten,niemanden
störten,niemanden,sie
niemanden,sie,sprossen
sie,sprossen,eines
sprossen,eines,morgens
eines,morgens,aus
morgens,aus,dem
aus,dem,gras
dem,gras,und
gras,und,am
und,am,abend
am,abend,waren
abend,waren,sie
waren,sie,wieder
sie,wieder,verschwunden
wieder,verschwunden,doch
verschwunden,doch,eines
doch,eines,tages
eines,tages,keimte
tages,keimte,ein
keimte,ein,spross
ein,spross,aus
spross,aus,einem
aus,einem,samen
einem,samen,von
samen,von,dem
von,dem,keiner
dem,keiner,wusste
keiner,wusste,woher
wusste,woher,er
woher,er,kam
er,kam,und
kam,und,der
und,der,kleine
der,kleine,prinz
kleine,prinz,überwachte
prinz,überwachte,ganz
überwachte,ganz,genau
ganz,genau,diesen
genau,diesen,kleinen
diesen,kleinen,halm
kleinen,halm,der
halm,der,nicht
der,nicht,so
nicht,so,aussah
so,aussah,wie
aussah,wie,die
wie,die,anderen
die,anderen,das
anderen,das,konnte
das,konnte,eine
konnte,eine,neue
eine,neue,art
neue,art,des
art,des,affenbrotbaumes
des,affenbrotbaumes,sein
affenbrotbaumes,sein,doch
sein,doch,bald
doch,bald,schon
bald,schon,hörte
schon,hörte,der
hörte,der,strauch
der,strauch,auf
strauch,auf,zu
auf,zu,wachsen
zu,wachsen,und
wachsen,und,eine
und,eine,blüte
eine,blüte,gedieh
blüte,gedieh,heran
gedieh,heran,der
heran,der,kleine
der,kleine,prinz
kleine,prinz,sah
prinz,sah,zu
sah,zu,wie
zu,wie,eine
wie,eine,enorme
eine,enorme,knospe
enorme,knospe,keimte
knospe,keimte,und
keimte,und,er
und,er,fühlte
er,fühlte,es
fühlte,es,würde
es,würde,etwas
würde,etwas,zauberhaftes
etwas,zauberhaftes,daraus
zauberhaftes,daraus,erwachsen
daraus,erwachsen,doch
erwachsen,doch,die
doch,die,blume
die,blume,wurde
blume,wurde,und
wurde,und,wurde
und,wurde,nicht
wurde,nicht,fertig
nicht,fertig,damit
fertig,damit,sich
damit,sich,im
sich,im,schutze
im,schutze,ihrer
schutze,ihrer,grünen
ihrer,grünen,kammer
grünen,kammer,herauszuputzen
kammer,herauszuputzen,sorgfältig
herauszuputzen,sorgfältig,wählte
sorgfältig,wählte,sie
wählte,sie,ihre
sie,ihre,farben
ihre,farben,aus
farben,aus,langsam
aus,langsam,zog
langsam,zog,sie
zog,sie,sich
sie,sich,an
sich,an,und
an,und,rückte
und,rückte,ihre
rückte,ihre,blütenblätter
ihre,blütenblätter,eines
blütenblätter,eines,nach
eines,nach,dem
nach,dem,anderen
dem,anderen,zurecht
anderen,zurecht,sie
zurecht,sie,wollte
sie,wollte,nicht
wollte,nicht,ganz
nicht,ganz,zerknittert
ganz,zerknittert,herauskommen
zerknittert,herauskommen,wie
herauskommen,wie,die
wie,die,mohnblumen
die,mohnblumen,sie
mohnblumen,sie,wollte
sie,wollte,nur
wollte,nur,in
nur,in,voller
in,voller,schönheit
voller,schönheit,aufblühen
schönheit,aufblühen,oh
aufblühen,oh,ja
oh,ja,sie
ja,sie,war
sie,war,sehr
war,sehr,eitel
sehr,eitel,so
eitel,so,hatte
so,hatte,sie
hatte,sie,tagelang
sie,tagelang,vor
tagelang,vor,dem
vor,dem,spiegel
dem,spiegel,gestanden
spiegel,gestanden,und
gestanden,und,dann
und,dann,eines
dann,eines,morgens
eines,morgens,als
morgens,als,die
als,die,sonne
die,sonne,aufging
sonne,aufging,hatte
aufging,hatte,sie
hatte,sie,sich
sie,sich,gezeigt
sich,gezeigt,und
gezeigt,und,sie
und,sie,die
sie,die,sich
die,sich,so
sich,so,sorgfältig
so,sorgfältig,herausgeputzt
sorgfältig,herausgeputzt,hatte
herausgeputzt,hatte,sagte
hatte,sagte,gähnend
sagte,gähnend,ah
gähnend,ah,ich
ah,ich,bin
ich,bin,noch
bin,noch,ganz
noch,ganz,verschlafen
ganz,verschlafen,sie
verschlafen,sie,müssen
sie,müssen,mich
müssen,mich,entschuldigen
mich,entschuldigen,ich
entschuldigen,ich,bin
ich,bin,noch
bin,noch,ganz
noch,ganz,zerzaust
ganz,zerzaust,der
zerzaust,der,kleine
der,kleine,prinz
kleine,prinz,konnte
prinz,konnte,seine
konnte,seine,bewunderung
seine,bewunderung,nicht
bewunderung,nicht,mehr
nicht,mehr,verbergen
mehr,verbergen,wie
verbergen,wie,schön
wie,schön,sie
schön,sie,sind
sie,sind,das
sind,das,ist
das,ist,wohl
ist,wohl,wahr
wohl,wahr,antwortete
wahr,antwortete,die
antwortete,die,blume
die,blume,sanftmütig
blume,sanftmütig,und
sanftmütig,und,ich
und,ich,bin
ich,bin,im
bin,im,gleichen
im,gleichen,moment
gleichen,moment,geboren
moment,geboren,wie
geboren,wie,die
wie,die,sonne
die,sonne,der
sonne,der,kleine
der,kleine,prinz
kleine,prinz,ahnte
prinz,ahnte,dass
ahnte,dass,sie
dass,sie,nicht
sie,nicht,sonderlich
nicht,sonderlich,bescheiden
sonderlich,bescheiden,war
bescheiden,war,aber
war,aber,sie
aber,sie,war
sie,war,dennoch
war,dennoch,so
dennoch,so,reizend
so,reizend,es
reizend,es,ist
es,ist,bald
ist,bald,zeit
bald,zeit,zum
zeit,zum,frühstücken
zum,frühstücken,fügte
frühstücken,fügte,sie
fügte,sie,kurz
sie,kurz,darauf
kurz,darauf,hinzu
darauf,hinzu,hätten
hinzu,hätten,sie
hätten,sie,die
sie,die,güte
die,güte,an
güte,an,mich
an,mich,zu
mich,zu,denken
zu,denken,und
denken,und,ganz
und,ganz,verwirrt
ganz,verwirrt,holte
verwirrt,holte,der
holte,der,kleine
der,kleine,prinz
kleine,prinz,eine
prinz,eine,kanne
eine,kanne,mit
kanne,mit,frischem
mit,frischem,wasser
frischem,wasser,um
wasser,um,die
um,die,blume
die,blume,zu
blume,zu,gießenbald
zu,gießenbald,schon
gießenbald,schon,nervte
schon,nervte,sie
nervte,sie,ihn
sie,ihn,mit
ihn,mit,ihrer
mit,ihrer,scheuen
ihrer,scheuen,eitelkeit
scheuen,eitelkeit,eines
eitelkeit,eines,tages
eines,tages,zum
tages,zum,beispiel
zum,beispiel,als
beispiel,als,sie
als,sie,dem
sie,dem,kleinen
dem,kleinen,prinzen
kleinen,prinzen,von
prinzen,von,ihren
von,ihren,vier
ihren,vier,dornen
vier,dornen,erzählte
dornen,erzählte,hatte
erzählte,hatte,sie
hatte,sie,zu
sie,zu,ihm
zu,ihm,gesagt
ihm,gesagt,die
gesagt,die,tiger
die,tiger,sollen
tiger,sollen,nur
sollen,nur,kommen
nur,kommen,mit
kommen,mit,ihren
mit,ihren,krallen
ihren,krallen,auf
krallen,auf,meinem
auf,meinem,planeten
meinem,planeten,gibt
planeten,gibt,es
gibt,es,keine
es,keine,tiger
keine,tiger,erwiderte
tiger,erwiderte,der
erwiderte,der,kleine
der,kleine,prinz
kleine,prinz,und
prinz,und,außerdem
und,außerdem,fressen
außerdem,fressen,tiger
fressen,tiger,kein
tiger,kein,gras
kein,gras,ich
gras,ich,bin
ich,bin,kein
bin,kein,gras
kein,gras,antwortete
gras,antwortete,die
antwortete,die,blume
die,blume,sanft
blume,sanft,entschuldigen
sanft,entschuldigen,sie
entschuldigen,sie,mich
sie,mich,vor
mich,vor,tigern
vor,tigern,fürchte
tigern,fürchte,ich
fürchte,ich,mich
ich,mich,nicht
mich,nicht,aber
nicht,aber,jeder
aber,jeder,luftzug
jeder,luftzug,ist
luftzug,ist,mir
ist,mir,ein
mir,ein,graus
ein,graus,hätten
graus,hätten,sie
hätten,sie,nicht
sie,nicht,einen
nicht,einen,wandschirm
einen,wandschirm,grauen
wandschirm,grauen,vor
grauen,vor,luftzug
vor,luftzug,das
luftzug,das,sind
das,sind,schlechte
sind,schlechte,aussichten
schlechte,aussichten,für
aussichten,für,eine
für,eine,blume
eine,blume,bemerkte
blume,bemerkte,der
bemerkte,der,kleine
der,kleine,prinz
kleine,prinz,diese
prinz,diese,blume
diese,blume,ist
blume,ist,äußerst
ist,äußerst,kompliziert
äußerst,kompliziert,stellen
kompliziert,stellen,sie
stellen,sie,mich
sie,mich,am
mich,am,abend
am,abend,einfach
abend,einfach,unter
einfach,unter,eine
unter,eine,glasglocke
eine,glasglocke,es
glasglocke,es,ist
es,ist,sehr
ist,sehr,kalt
sehr,kalt,bei
kalt,bei,ihnen
bei,ihnen,das
ihnen,das,ist
das,ist,schlecht
ist,schlecht,eingerichtet
schlecht,eingerichtet,da
eingerichtet,da,wo
da,wo,ich
wo,ich,herkomme
ich,herkomme,aber
herkomme,aber,sie
aber,sie,unterbrach
sie,unterbrach,sich
unterbrach,sich,sie
sich,sie,war
sie,war,ja
war,ja,als
ja,als,samen
als,samen,gekommen
samen,gekommen,sie
gekommen,sie,konnte
sie,konnte,gar
konnte,gar,nichts
