first,second,third,fourth
im,stillen,gereiften,problems
stillen,gereiften,problems,wenn
gereiften,problems,wenn,ein
problems,wenn,ein,schaf
wenn,ein,schaf,sträucher
ein,schaf,sträucher,frisst
schaf,sträucher,frisst,dann
sträucher,frisst,dann,also
frisst,dann,also,auch
dann,also,auch,blumen
also,auch,blumen,ein
auch,blumen,ein,schaf
blumen,ein,schaf,frisst
ein,schaf,frisst,einfach
schaf,frisst,einfach,alles
frisst,einfach,alles,was
einfach,alles,was,es
alles,was,es,findet
was,es,findet,selbst
es,findet,selbst,wenn
findet,selbst,wenn,die
selbst,wenn,die,blumen
wenn,die,blumen,dornen
die,blumen,dornen,haben
blumen,dornen,haben,ja
dornen,haben,ja,selbst
haben,ja,selbst,blumen
ja,selbst,blumen,mit
selbst,blumen,mit,dornen
blumen,mit,dornen,wozu
mit,dornen,wozu,dienen
dornen,wozu,dienen,dann
wozu,dienen,dann,diese
dienen,dann,diese,dornen
dann,diese,dornen,ich
diese,dornen,ich,wusste
dornen,ich,wusste,es
ich,wusste,es,nicht
wusste,es,nicht,unterdessen
es,nicht,unterdessen,war
nicht,unterdessen,war,ich
unterdessen,war,ich,mit
war,ich,mit,dem
ich,mit,dem,versuch
mit,dem,versuch,beschäftigt
dem,versuch,beschäftigt,an
versuch,beschäftigt,an,meinem
beschäftigt,an,meinem,motor
an,meinem,motor,einen
meinem,motor,einen,bolzen
motor,einen,bolzen,zu
einen,bolzen,zu,lockern
bolzen,zu,lockern,der
zu,lockern,der,zu
lockern,der,zu,festgezogen
der,zu,festgezogen,war
zu,festgezogen,war,ich
festgezogen,war,ich,war
war,ich,war,sehr
ich,war,sehr,besorgt
war,sehr,besorgt,denn
sehr,besorgt,denn,langsam
besorgt,denn,langsam,schien
denn,langsam,schien,mir
langsam,schien,mir,meine
schien,mir,meine,panne
mir,meine,panne,doch
meine,panne,doch,sehr
panne,doch,sehr,ernst
doch,sehr,ernst,und
sehr,ernst,und,das
ernst,und,das,zur
und,das,zur,neige
das,zur,neige,gehende
zur,neige,gehende,trinkwasser
neige,gehende,trinkwasser,ließ
gehende,trinkwasser,ließ,mich
trinkwasser,ließ,mich,das
ließ,mich,das,schlimmste
mich,das,schlimmste,befürchten
das,schlimmste,befürchten,wozu
schlimmste,befürchten,wozu,sind
befürchten,wozu,sind,die
wozu,sind,die,dornen
sind,die,dornen,gut
die,dornen,gut,der
dornen,gut,der,kleine
gut,der,kleine,prinz
der,kleine,prinz,ließ
kleine,prinz,ließ,nie
prinz,ließ,nie,von
ließ,nie,von,einer
nie,von,einer,frage
von,einer,frage,ab
einer,frage,ab,wenn
frage,ab,wenn,er
ab,wenn,er,sie
wenn,er,sie,einmal
er,sie,einmal,gestellt
sie,einmal,gestellt,hatte
einmal,gestellt,hatte,ich
gestellt,hatte,ich,war
hatte,ich,war,von
ich,war,von,meinem
war,von,meinem,bolzen
von,meinem,bolzen,abgelenkt
meinem,bolzen,abgelenkt,und
bolzen,abgelenkt,und,so
abgelenkt,und,so,antwortete
und,so,antwortete,ich
so,antwortete,ich,einfach
antwortete,ich,einfach,irgendetwas
ich,einfach,irgendetwas,die
einfach,irgendetwas,die,dornen
irgendetwas,die,dornen,sind
die,dornen,sind,zu
dornen,sind,zu,überhaupt
sind,zu,überhaupt,nichts
zu,überhaupt,nichts,nutze
überhaupt,nichts,nutze,die
nichts,nutze,die,blumen
nutze,die,blumen,lassen
die,blumen,lassen,sie
blumen,lassen,sie,nur
lassen,sie,nur,aus
sie,nur,aus,gemeinheit
nur,aus,gemeinheit,wachsen
aus,gemeinheit,wachsen,oh
gemeinheit,wachsen,oh,aber
wachsen,oh,aber,nach
oh,aber,nach,einem
aber,nach,einem,augenblick
nach,einem,augenblick,stille
einem,augenblick,stille,da
augenblick,stille,da,erwiderte
stille,da,erwiderte,er
da,erwiderte,er,verärgert
erwiderte,er,verärgert,ich
er,verärgert,ich,glaube
verärgert,ich,glaube,dir
ich,glaube,dir,nicht
glaube,dir,nicht,blumen
dir,nicht,blumen,sind
nicht,blumen,sind,schwach
blumen,sind,schwach,sie
sind,schwach,sie,sind
schwach,sie,sind,leichtgläubig
sie,sind,leichtgläubig,sie
sind,leichtgläubig,sie,schützen
leichtgläubig,sie,schützen,sich
sie,schützen,sich,nur
schützen,sich,nur,so
sich,nur,so,gut
nur,so,gut,sie
so,gut,sie,können
gut,sie,können,mit
sie,können,mit,den
können,mit,den,dornen
mit,den,dornen,glauben
den,dornen,glauben,sie
dornen,glauben,sie,sehen
glauben,sie,sehen,sie
sie,sehen,sie,gefährlich
sehen,sie,gefährlich,aus
sie,gefährlich,aus,ich
gefährlich,aus,ich,antwortete
aus,ich,antwortete,nichts
ich,antwortete,nichts,sondern
antwortete,nichts,sondern,sagte
nichts,sondern,sagte,mir
sondern,sagte,mir,in
sagte,mir,in,diesem
mir,in,diesem,augenblick
in,diesem,augenblick,wenn
diesem,augenblick,wenn,dieser
augenblick,wenn,dieser,bolzen
wenn,dieser,bolzen,nicht
dieser,bolzen,nicht,nachgibt
bolzen,nicht,nachgibt,muss
nicht,nachgibt,muss,ich
nachgibt,muss,ich,ihn
muss,ich,ihn,mit
ich,ihn,mit,dem
ihn,mit,dem,hammer
mit,dem,hammer,herauslösen
dem,hammer,herauslösen,wieder
hammer,herauslösen,wieder,unterbrach
herauslösen,wieder,unterbrach,der
wieder,unterbrach,der,kleine
unterbrach,der,kleine,prinz
der,kleine,prinz,meine
kleine,prinz,meine,überlegungen
prinz,meine,überlegungen,und
meine,überlegungen,und,du
überlegungen,und,du,glaubst
und,du,glaubst,dass
du,glaubst,dass,diese
glaubst,dass,diese,blumen
dass,diese,blumen,aber
diese,blumen,aber,nein
blumen,aber,nein,aber
aber,nein,aber,nein
nein,aber,nein,ich
aber,nein,ich,glaube
nein,ich,glaube,gar
ich,glaube,gar,nichts
glaube,gar,nichts,ich
gar,nichts,ich,habe
nichts,ich,habe,nur
ich,habe,nur,irgendwas
habe,nur,irgendwas,geantwortet
nur,irgendwas,geantwortet,ich
irgendwas,geantwortet,ich,muss
geantwortet,ich,muss,mich
ich,muss,mich,hier
muss,mich,hier,um
mich,hier,um,wichtige
hier,um,wichtige,dinge
um,wichtige,dinge,kümmern
wichtige,dinge,kümmern,er
dinge,kümmern,er,schaute
kümmern,er,schaute,mich
er,schaute,mich,erstaunt
schaute,mich,erstaunt,an
mich,erstaunt,an,um
erstaunt,an,um,wichtige
an,um,wichtige,dinge
um,wichtige,dinge,er
wichtige,dinge,er,sah
dinge,er,sah,mich
er,sah,mich,an
sah,mich,an,wie
mich,an,wie,ich
an,wie,ich,den
wie,ich,den,hammer
ich,den,hammer,in
den,hammer,in,der
hammer,in,der,hand
in,der,hand,und
der,hand,und,mit
hand,und,mit,ölverschmierten
und,mit,ölverschmierten,händen
mit,ölverschmierten,händen,über
ölverschmierten,händen,über,einem
händen,über,einem,ding
über,einem,ding,hing
einem,ding,hing,das
ding,hing,das,ihm
hing,das,ihm,ausgesprochen
das,ihm,ausgesprochen,hässlich
ihm,ausgesprochen,hässlich,erscheinen
ausgesprochen,hässlich,erscheinen,musste
hässlich,erscheinen,musste,du
erscheinen,musste,du,sprichst
musste,du,sprichst,wie
du,sprichst,wie,die
sprichst,wie,die,erwachsenen
wie,die,erwachsenen,das
die,erwachsenen,das,beschämte
erwachsenen,das,beschämte,mich
das,beschämte,mich,etwas
beschämte,mich,etwas,aber
mich,etwas,aber,er
etwas,aber,er,fügte
aber,er,fügte,noch
er,fügte,noch,unerbittlich
fügte,noch,unerbittlich,hinzu
noch,unerbittlich,hinzu,du
unerbittlich,hinzu,du,verwechselst
hinzu,du,verwechselst,alles
du,verwechselst,alles,du
verwechselst,alles,du,bringst
alles,du,bringst,alles
du,bringst,alles,durcheinander
bringst,alles,durcheinander,er
alles,durcheinander,er,war
durcheinander,er,war,wirklich
er,war,wirklich,sehr
war,wirklich,sehr,aufgebracht
wirklich,sehr,aufgebracht,er
sehr,aufgebracht,er,schüttelte
aufgebracht,er,schüttelte,sein
er,schüttelte,sein,goldenes
schüttelte,sein,goldenes,haar
sein,goldenes,haar,im
goldenes,haar,im,wind
haar,im,wind,es
im,wind,es,gibt
wind,es,gibt,einen
es,gibt,einen,mann
gibt,einen,mann,mit
einen,mann,mit,hochrotem
mann,mit,hochrotem,kopf
mit,hochrotem,kopf,er
hochrotem,kopf,er,hat
kopf,er,hat,noch
er,hat,noch,nie
hat,noch,nie,den
noch,nie,den,duft
nie,den,duft,einer
den,duft,einer,blume
duft,einer,blume,gerochen
einer,blume,gerochen,er
blume,gerochen,er,hat
gerochen,er,hat,noch
er,hat,noch,niemals
hat,noch,niemals,einen
noch,niemals,einen,stern
niemals,einen,stern,betrachtet
einen,stern,betrachtet,er
stern,betrachtet,er,hat
betrachtet,er,hat,noch
er,hat,noch,niemals
hat,noch,niemals,jemanden
noch,niemals,jemanden,geliebt
niemals,jemanden,geliebt,nie
jemanden,geliebt,nie,hat
geliebt,nie,hat,er
nie,hat,er,etwas
hat,er,etwas,anderes
er,etwas,anderes,getan
etwas,anderes,getan,als
anderes,getan,als,zahlen
getan,als,zahlen,zu
als,zahlen,zu,addieren
zahlen,zu,addieren,und
zu,addieren,und,den
addieren,und,den,ganzen
und,den,ganzen,tag
den,ganzen,tag,wiederholt
ganzen,tag,wiederholt,er
tag,wiederholt,er,so
wiederholt,er,so,wie
er,so,wie,du
so,wie,du,ich
wie,du,ich,bin
du,ich,bin,ein
ich,bin,ein,ernstzunehmender
bin,ein,ernstzunehmender,mann
ein,ernstzunehmender,mann,ich
ernstzunehmender,mann,ich,bin
mann,ich,bin,ein
ich,bin,ein,wichtiger
bin,ein,wichtiger,mann
ein,wichtiger,mann,und
wichtiger,mann,und,damit
mann,und,damit,brüstet
und,damit,brüstet,er
damit,brüstet,er,sich
brüstet,er,sich,voller
er,sich,voller,hochmut
sich,voller,hochmut,aber
voller,hochmut,aber,er
hochmut,aber,er,ist
aber,er,ist,gar
er,ist,gar,kein
ist,gar,kein,mann
gar,kein,mann,er
kein,mann,er,ist
mann,er,ist,ein
er,ist,ein,pilz
ist,ein,pilz,ein
ein,pilz,ein,was
pilz,ein,was,bitte
ein,was,bitte,ein
was,bitte,ein,pilz
bitte,ein,pilz,der
ein,pilz,der,kleine
pilz,der,kleine,prinz
der,kleine,prinz,war
kleine,prinz,war,vor
prinz,war,vor,zorn
war,vor,zorn,nun
vor,zorn,nun,ganz
zorn,nun,ganz,bleich
nun,ganz,bleich,geworden
ganz,bleich,geworden,seit
bleich,geworden,seit,tausenden
geworden,seit,tausenden,jahren
seit,tausenden,jahren,lassen
tausenden,jahren,lassen,blumen
jahren,lassen,blumen,dornen
lassen,blumen,dornen,wachsen
blumen,dornen,wachsen,seit
dornen,wachsen,seit,tausenden
wachsen,seit,tausenden,jahren
seit,tausenden,jahren,fressen
tausenden,jahren,fressen,die
jahren,fressen,die,schafe
fressen,die,schafe,die
die,schafe,die,blumen
schafe,die,blumen,trotzdem
die,blumen,trotzdem,und
blumen,trotzdem,und,es
trotzdem,und,es,soll
und,es,soll,nicht
es,soll,nicht,wichtig
soll,nicht,wichtig,sein
nicht,wichtig,sein,verstehen
wichtig,sein,verstehen,zu
sein,verstehen,zu,wollen
verstehen,zu,wollen,warum
zu,wollen,warum,sie
wollen,warum,sie,sich
warum,sie,sich,so
sie,sich,so,mühsam
sich,so,mühsam,dornen
so,mühsam,dornen,wachsen
mühsam,dornen,wachsen,lassen
dornen,wachsen,lassen,die
wachsen,lassen,die,zu
lassen,die,zu,gar
die,zu,gar,nichts
zu,gar,nichts,nutze
gar,nichts,nutze,sind
nichts,nutze,sind,dieser
nutze,sind,dieser,krieg
sind,dieser,krieg,zwischen
dieser,krieg,zwischen,schafen
krieg,zwischen,schafen,und
zwischen,schafen,und,blumen
schafen,und,blumen,soll
und,blumen,soll,nicht
blumen,soll,nicht,wichtig
soll,nicht,wichtig,sein
nicht,wichtig,sein,das
wichtig,sein,das,ist
sein,das,ist,nicht
das,ist,nicht,ernstzunehmender
ist,nicht,ernstzunehmender,und
nicht,ernstzunehmender,und,wichtiger
ernstzunehmender,und,wichtiger,als
und,wichtiger,als,die
wichtiger,als,die,berechnungen
als,die,berechnungen,eines
die,berechnungen,eines,dicken
berechnungen,eines,dicken,rotbäckigen
eines,dicken,rotbäckigen,mannes
dicken,rotbäckigen,mannes,und
rotbäckigen,mannes,und,wenn
mannes,und,wenn,ich
und,wenn,ich,eine
wenn,ich,eine,blume
ich,eine,blume,kenne
eine,blume,kenne,die
blume,kenne,die,es
kenne,die,es,nur
die,es,nur,ein
es,nur,ein,mal
nur,ein,mal,auf
ein,mal,auf,dieser
mal,auf,dieser,welt
auf,dieser,welt,gibt
dieser,welt,gibt,nirgends
welt,gibt,nirgends,außer
gibt,nirgends,außer,auf
nirgends,außer,auf,meinem
außer,auf,meinem,planeten
auf,meinem,planeten,und
meinem,planeten,und,wenn
planeten,und,wenn,nun
und,wenn,nun,ein
wenn,nun,ein,kleines
nun,ein,kleines,schaf
ein,kleines,schaf,eines
kleines,schaf,eines,morgens
schaf,eines,morgens,diese
eines,morgens,diese,blume
morgens,diese,blume,einfach
diese,blume,einfach,so
blume,einfach,so,mit
einfach,so,mit,einem
so,mit,einem,biss
mit,einem,biss,vernichten
einem,biss,vernichten,kann
biss,vernichten,kann,ohne
vernichten,kann,ohne,zu
kann,ohne,zu,wissen
ohne,zu,wissen,was
zu,wissen,was,es
wissen,was,es,tut
was,es,tut,dann
es,tut,dann,soll
tut,dann,soll,das
dann,soll,das,nicht
soll,das,nicht,wichtig
das,nicht,wichtig,sein
nicht,wichtig,sein,er
wichtig,sein,er,lief
sein,er,lief,ganz
er,lief,ganz,rot
lief,ganz,rot,an
ganz,rot,an,und
rot,an,und,fuhr
an,und,fuhr,dann
und,fuhr,dann,fort
fuhr,dann,fort,wenn
dann,fort,wenn,jemand
fort,wenn,jemand,eine
wenn,jemand,eine,blume
jemand,eine,blume,liebt
eine,blume,liebt,die
blume,liebt,die,es
liebt,die,es,auf
die,es,auf,zig
es,auf,zig,millionen
auf,zig,millionen,sternen
zig,millionen,sternen,nur
millionen,sternen,nur,ein
sternen,nur,ein,einziges
nur,ein,einziges,mal
ein,einziges,mal,gibt
einziges,mal,gibt,dann
mal,gibt,dann,reicht
gibt,dann,reicht,ihm
dann,reicht,ihm,ein
reicht,ihm,ein,blick
ihm,ein,blick,zu
ein,blick,zu,ihnen
blick,zu,ihnen,hinauf
zu,ihnen,hinauf,um
ihnen,hinauf,um,glücklich
hinauf,um,glücklich,zu
um,glücklich,zu,sein
glücklich,zu,sein,er
zu,sein,er,sagt
sein,er,sagt,sich
er,sagt,sich,irgendwo
sagt,sich,irgendwo,dort
sich,irgendwo,dort,ist
irgendwo,dort,ist,meine
dort,ist,meine,blume
ist,meine,blume,aber
meine,blume,aber,wenn
blume,aber,wenn,das
aber,wenn,das,schaf
wenn,das,schaf,die
das,schaf,die,blume
schaf,die,blume,frisst
die,blume,frisst,so
blume,frisst,so,ist
frisst,so,ist,es
so,ist,es,für
ist,es,für,ihn
es,für,ihn,so
für,ihn,so,als
ihn,so,als,seien
so,als,seien,ganz
als,seien,ganz,plötzlich
seien,ganz,plötzlich,alle
ganz,plötzlich,alle,sterne
plötzlich,alle,sterne,verschwunden
alle,sterne,verschwunden,und
sterne,verschwunden,und,das
verschwunden,und,das,soll
und,das,soll,nicht
das,soll,nicht,wichtig
soll,nicht,wichtig,sein
nicht,wichtig,sein,mehr
wichtig,sein,mehr,brachte
sein,mehr,brachte,er
mehr,brachte,er,nicht
brachte,er,nicht,hervor
er,nicht,hervor,er
nicht,hervor,er,fing
hervor,er,fing,auf
er,fing,auf,einmal
fing,auf,einmal,an
auf,einmal,an,zu
einmal,an,zu,schluchzen
an,zu,schluchzen,die
zu,schluchzen,die,nacht
schluchzen,die,nacht,war
die,nacht,war,hereingebrochen
nacht,war,hereingebrochen,ich
war,hereingebrochen,ich,hatte
hereingebrochen,ich,hatte,mein
ich,hatte,mein,werkzeug
hatte,mein,werkzeug,beiseitegelegt
mein,werkzeug,beiseitegelegt,mein
werkzeug,beiseitegelegt,mein,hammer
beiseitegelegt,mein,hammer,mein
mein,hammer,mein,bolzen
hammer,mein,bolzen,der
mein,bolzen,der,durst
bolzen,der,durst,und
der,durst,und,der
durst,und,der,hunger
und,der,hunger,erschienen
der,hunger,erschienen,mir
hunger,erschienen,mir,auf
erschienen,mir,auf,einmal
mir,auf,einmal,albern
auf,einmal,albern,es
einmal,albern,es,gab
albern,es,gab,auf
es,gab,auf,einem
gab,auf,einem,stern
auf,einem,stern,auf
einem,stern,auf,einem
stern,auf,einem,planeten
auf,einem,planeten,auf
einem,planeten,auf,meinem
planeten,auf,meinem,planeten
auf,meinem,planeten,der
meinem,planeten,der,erde
planeten,der,erde,einen
der,erde,einen,kleinen
erde,einen,kleinen,prinzen
einen,kleinen,prinzen,zu
kleinen,prinzen,zu,trösten
prinzen,zu,trösten,ich
zu,trösten,ich,nahm
trösten,ich,nahm,ihn
ich,nahm,ihn,in
nahm,ihn,in,die
ihn,in,die,arme
in,die,arme,ich
die,arme,ich,wiegte
arme,ich,wiegte,ihn
ich,wiegte,ihn,ich
wiegte,ihn,ich,sagte
ihn,ich,sagte,zu
ich,sagte,zu,ihm
sagte,zu,ihm,deine
zu,ihm,deine,geliebte
ihm,deine,geliebte,blume
deine,geliebte,blume,ist
geliebte,blume,ist,nicht
blume,ist,nicht,in
ist,nicht,in,gefahr
nicht,in,gefahr,ich
in,gefahr,ich,werde
gefahr,ich,werde,deinem
ich,werde,deinem,schaf
werde,deinem,schaf,einen
deinem,schaf,einen,maulkorb
schaf,einen,maulkorb,zeichnen
einen,maulkorb,zeichnen,ich
maulkorb,zeichnen,ich,zeichne
zeichnen,ich,zeichne,dir
ich,zeichne,dir,eine
zeichne,dir,eine,rüstung
dir,eine,rüstung,für
eine,rüstung,für,deine
rüstung,für,deine,blume
für,deine,blume,ich
deine,blume,ich,ich
blume,ich,ich,wusste
ich,ich,wusste,wirklich
ich,wusste,wirklich,nicht
wusste,wirklich,nicht,was
wirklich,nicht,was,ich
nicht,was,ich,sagen
was,ich,sagen,sollte
ich,sagen,sollte,ich
sagen,sollte,ich,fühlte
sollte,ich,fühlte,mich
ich,fühlte,mich,sehr
fühlte,mich,sehr,schlecht
mich,sehr,schlecht,ich
sehr,schlecht,ich,wusste
schlecht,ich,wusste,nicht
ich,wusste,nicht,wie
wusste,nicht,wie,ich
nicht,wie,ich,ihm
wie,ich,ihm,näher
ich,ihm,näher,komme
ihm,näher,komme,wie
näher,komme,wie,ich
komme,wie,ich,ihm
wie,ich,ihm,beistehen
ich,ihm,beistehen,konnte
ihm,beistehen,konnte,das
beistehen,konnte,das,land
konnte,das,land,der
das,land,der,tränen
land,der,tränen,ist
der,tränen,ist,voller
tränen,ist,voller,geheimnisse
ist,voller,geheimnisse,schon
voller,geheimnisse,schon,bald
geheimnisse,schon,bald,lernte
schon,bald,lernte,ich
bald,lernte,ich,jene
lernte,ich,jene,blume
ich,jene,blume,besser
jene,blume,besser,kennen
blume,besser,kennen,auf
besser,kennen,auf,dem
kennen,auf,dem,planeten
auf,dem,planeten,des
dem,planeten,des,kleinen
planeten,des,kleinen,prinzen
des,kleinen,prinzen,hatte
kleinen,prinzen,hatte,es
prinzen,hatte,es,schon
hatte,es,schon,immer
es,schon,immer,blumen
schon,immer,blumen,gegeben
immer,blumen,gegeben,sehr
blumen,gegeben,sehr,einfache
gegeben,sehr,einfache,verziert
sehr,einfache,verziert,nur
einfache,verziert,nur,mit
verziert,nur,mit,einem
nur,mit,einem,kranz
mit,einem,kranz,von
einem,kranz,von,blütenblättern
kranz,von,blütenblättern,sie
von,blütenblättern,sie,waren
blütenblättern,sie,waren,kaum
sie,waren,kaum,zu
waren,kaum,zu,bemerken
kaum,zu,bemerken,und
zu,bemerken,und,sie
bemerken,und,sie,störten
und,sie,störten,niemanden
sie,störten,niemanden,sie
störten,niemanden,sie,sprossen
niemanden,sie,sprossen,eines
sie,sprossen,eines,morgens
sprossen,eines,morgens,aus
eines,morgens,aus,dem
morgens,aus,dem,gras
aus,dem,gras,und
dem,gras,und,am
gras,und,am,abend
und,am,abend,waren
am,abend,waren,sie
abend,waren,sie,wieder
waren,sie,wieder,verschwunden
sie,wieder,verschwunden,doch
wieder,verschwunden,doch,eines
verschwunden,doch,eines,tages
doch,eines,tages,keimte
eines,tages,keimte,ein
tages,keimte,ein,spross
keimte,ein,spross,aus
ein,spross,aus,einem
spross,aus,einem,samen
aus,einem,samen,von
einem,samen,von,dem
samen,von,dem,keiner
von,dem,keiner,wusste
dem,keiner,wusste,woher
keiner,wusste,woher,er
wusste,woher,er,kam
woher,er,kam,und
er,kam,und,der
kam,und,der,kleine
und,der,kleine,prinz
der,kleine,prinz,überwachte
kleine,prinz,überwachte,ganz
prinz,überwachte,ganz,genau
überwachte,ganz,genau,diesen
ganz,genau,diesen,kleinen
genau,diesen,kleinen,halm
diesen,kleinen,halm,der
kleinen,halm,der,nicht
halm,der,nicht,so
der,nicht,so,aussah
nicht,so,aussah,wie
so,aussah,wie,die
aussah,wie,die,anderen
wie,die,anderen,das
die,anderen,das,konnte
anderen,das,konnte,eine
das,konnte,eine,neue
konnte,eine,neue,art
eine,neue,art,des
neue,art,des,affenbrotbaumes
art,des,affenbrotbaumes,sein
des,affenbrotbaumes,sein,doch
affenbrotbaumes,sein,doch,bald
sein,doch,bald,schon
doch,bald,schon,hörte
bald,schon,hörte,der
schon,hörte,der,strauch
hörte,der,strauch,auf
der,strauch,auf,zu
strauch,auf,zu,wachsen
auf,zu,wachsen,und
zu,wachsen,und,eine
wachsen,und,eine,blüte
und,eine,blüte,gedieh
eine,blüte,gedieh,heran
blüte,gedieh,heran,der
gedieh,heran,der,kleine
heran,der,kleine,prinz
der,kleine,prinz,sah
kleine,prinz,sah,zu
prinz,sah,zu,wie
sah,zu,wie,eine
zu,wie,eine,enorme
wie,eine,enorme,knospe
eine,enorme,knospe,keimte
enorme,knospe,keimte,und
knospe,keimte,und,er
keimte,und,er,fühlte
und,er,fühlte,es
er,fühlte,es,würde
fühlte,es,würde,etwas
es,würde,etwas,zauberhaftes
würde,etwas,zauberhaftes,daraus
etwas,zauberhaftes,daraus,erwachsen
zauberhaftes,daraus,erwachsen,doch
daraus,erwachsen,doch,die
erwachsen,doch,die,blume
doch,die,blume,wurde
die,blume,wurde,und
blume,wurde,und,wurde
wurde,und,wurde,nicht
und,wurde,nicht,fertig
wurde,nicht,fertig,damit
nicht,fertig,damit,sich
fertig,damit,sich,im
damit,sich,im,schutze
sich,im,schutze,ihrer
im,schutze,ihrer,grünen
schutze,ihrer,grünen,kammer
ihrer,grünen,kammer,herauszuputzen
grünen,kammer,herauszuputzen,sorgfältig
kammer,herauszuputzen,sorgfältig,wählte
herauszuputzen,sorgfältig,wählte,sie
sorgfältig,wählte,sie,ihre
wählte,sie,ihre,farben
sie,ihre,farben,aus
ihre,farben,aus,langsam
farben,aus,langsam,zog
aus,langsam,zog,sie
langsam,zog,sie,sich
zog,sie,sich,an
sie,sich,an,und
sich,an,und,rückte
an,und,rückte,ihre
und,rückte,ihre,blütenblätter
rückte,ihre,blütenblätter,eines
ihre,blütenblätter,eines,nach
blütenblätter,eines,nach,dem
eines,nach,dem,anderen
nach,dem,anderen,zurecht
dem,anderen,zurecht,sie
anderen,zurecht,sie,wollte
zurecht,sie,wollte,nicht
sie,wollte,nicht,ganz
wollte,nicht,ganz,zerknittert
nicht,ganz,zerknittert,herauskommen
ganz,zerknittert,herauskommen,wie
zerknittert,herauskommen,wie,die
herauskommen,wie,die,mohnblumen
wie,die,mohnblumen,sie
die,mohnblumen,sie,wollte
mohnblumen,sie,wollte,nur
sie,wollte,nur,in
wollte,nur,in,voller
nur,in,voller,schönheit
in,voller,schönheit,aufblühen
voller,schönheit,aufblühen,oh
schönheit,aufblühen,oh,ja
aufblühen,oh,ja,sie
oh,ja,sie,war
ja,sie,war,sehr
sie,war,sehr,eitel
war,sehr,eitel,so
sehr,eitel,so,hatte
eitel,so,hatte,sie
so,hatte,sie,tagelang
hatte,sie,tagelang,vor
sie,tagelang,vor,dem
tagelang,vor,dem,spiegel
vor,dem,spiegel,gestanden
dem,spiegel,gestanden,und
spiegel,gestanden,und,dann
gestanden,und,dann,eines
und,dann,eines,morgens
dann,eines,morgens,als
eines,morgens,als,die
morgens,als,die,sonne
als,die,sonne,aufging
die,sonne,aufging,hatte
sonne,aufging,hatte,sie
aufging,hatte,sie,sich
hatte,sie,sich,gezeigt
sie,sich,gezeigt,und
sich,gezeigt,und,sie
gezeigt,und,sie,die
und,sie,die,sich
sie,die,sich,so
die,sich,so,sorgfältig
sich,so,sorgfältig,herausgeputzt
so,sorgfältig,herausgeputzt,hatte
sorgfältig,herausgeputzt,hatte,sagte
herausgeputzt,hatte,sagte,gähnend
hatte,sagte,gähnend,ah
sagte,gähnend,ah,ich
gähnend,ah,ich,bin
ah,ich,bin,noch
ich,bin,noch,ganz
bin,noch,ganz,verschlafen
noch,ganz,verschlafen,sie
ganz,verschlafen,sie,müssen
verschlafen,sie,müssen,mich
sie,müssen,mich,entschuldigen
müssen,mich,entschuldigen,ich
mich,entschuldigen,ich,bin
entschuldigen,ich,bin,noch
ich,bin,noch,ganz
bin,noch,ganz,zerzaust
noch,ganz,zerzaust,der
ganz,zerzaust,der,kleine
zerzaust,der,kleine,prinz
der,kleine,prinz,konnte
kleine,prinz,konnte,seine
prinz,konnte,seine,bewunderung
konnte,seine,bewunderung,nicht
seine,bewunderung,nicht,mehr
bewunderung,nicht,mehr,verbergen
nicht,mehr,verbergen,wie
mehr,verbergen,wie,schön
verbergen,wie,schön,sie
wie,schön,sie,sind
schön,sie,sind,das
sie,sind,das,ist
sind,das,ist,wohl
das,ist,wohl,wahr
ist,wohl,wahr,antwortete
wohl,wahr,antwortete,die
wahr,antwortete,die,blume
antwortete,die,blume,sanftmütig
die,blume,sanftmütig,und
blume,sanftmütig,und,ich
sanftmütig,und,ich,bin
und,ich,bin,im
ich,bin,im,gleichen
bin,im,gleichen,moment
im,gleichen,moment,geboren
gleichen,moment,geboren,wie
moment,geboren,wie,die
geboren,wie,die,sonne
wie,die,sonne,der
die,sonne,der,kleine
sonne,der,kleine,prinz
der,kleine,prinz,ahnte
kleine,prinz,ahnte,dass
prinz,ahnte,dass,sie
ahnte,dass,sie,nicht
dass,sie,nicht,sonderlich
sie,nicht,sonderlich,bescheiden
nicht,sonderlich,bescheiden,war
sonderlich,bescheiden,war,aber
bescheiden,war,aber,sie
war,aber,sie,war
aber,sie,war,dennoch
sie,war,dennoch,so
war,dennoch,so,reizend
dennoch,so,reizend,es
so,reizend,es,ist
reizend,es,ist,bald
es,ist,bald,zeit
ist,bald,zeit,zum
bald,zeit,zum,frühstücken
zeit,zum,frühstücken,fügte
zum,frühstücken,fügte,sie
frühstücken,fügte,sie,kurz
fügte,sie,kurz,darauf
sie,kurz,darauf,hinzu
kurz,darauf,hinzu,hätten
darauf,hinzu,hätten,sie
hinzu,hätten,sie,die
hätten,sie,die,güte
sie,die,güte,an
die,güte,an,mich
güte,an,mich,zu
an,mich,zu,denken
mich,zu,denken,und
zu,denken,und,ganz
denken,und,ganz,verwirrt
und,ganz,verwirrt,holte
ganz,verwirrt,holte,der
verwirrt,holte,der,kleine
holte,der,kleine,prinz
der,kleine,prinz,eine
kleine,prinz,eine,kanne
prinz,eine,kanne,mit
eine,kanne,mit,frischem
kanne,mit,frischem,wasser
mit,frischem,wasser,um
frischem,wasser,um,die
wasser,um,die,blume
um,die,blume,zu
die,blume,zu,gießenbald
blume,zu,gießenbald,schon
